HPC95,parameter.value,count
0,3364,0
0,3366.666667,0
0,3369.333333,0
0,3372,0
0,3374.666667,0
0,3377.333333,0
0,3380,0
0,3382.666667,0
0,3385.333333,0
0,3388,0
0,3390.666667,0
0,3393.333333,0
0,3396,0
0,3398.666667,0
0,3401.333333,0
0,3404,0
0,3406.666667,0
0,3409.333333,0
0,3412,0
0,3414.666667,0
0,3417.333333,0
0,3420,0
0,3422.666667,0
0,3425.333333,0
0,3428,0
0,3430.666667,0
0,3433.333333,0
0,3436,0
0,3438.666667,0
0,3441.333333,0
0,3444,0
0,3446.666667,0
0,3449.333333,0
0,3452,0
0,3454.666667,0
0,3457.333333,0
0,3460,0
0,3462.666667,0
0,3465.333333,0
0,3468,0
0,3470.666667,0
0,3473.333333,0
0,3476,0
0,3478.666667,0
0,3481.333333,0
0,3484,0
0,3486.666667,0
0,3489.333333,0
0,3492,0
0,3494.666667,0
0,3497.333333,0
0,3500,0
0,3502.666667,0
0,3505.333333,0
0,3508,0
0,3510.666667,0
0,3513.333333,0
0,3516,0
0,3518.666667,0
0,3521.333333,0
0,3524,0
0,3526.666667,0
0,3529.333333,0
0,3532,0
0,3534.666667,0
0,3537.333333,0
0,3540,0
0,3542.666667,0
0,3545.333333,0
0,3548,0
0,3550.666667,0
0,3553.333333,0
0,3556,0
0,3558.666667,0
0,3561.333333,0
0,3564,0
0,3566.666667,0
0,3569.333333,0
0,3572,0
0,3574.666667,0
0,3577.333333,0
0,3580,0
0,3582.666667,0
0,3585.333333,0
0,3588,0
0,3590.666667,0
0,3593.333333,0
0,3596,0
0,3598.666667,0
0,3601.333333,0
0,3604,0
0,3606.666667,0
0,3609.333333,0
0,3612,0
0,3614.666667,0
0,3617.333333,0
0,3620,0
0,3622.666667,0
0,3625.333333,0
0,3628,0
0,3630.666667,0
0,3633.333333,0
0,3636,0
0,3638.666667,0
0,3641.333333,0
0,3644,0
0,3646.666667,0
0,3649.333333,0
0,3652,0
0,3654.666667,0
0,3657.333333,0
0,3660,0
0,3662.666667,0
0,3665.333333,0
0,3668,0
0,3670.666667,0
0,3673.333333,0
0,3676,0
0,3678.666667,0
0,3681.333333,0
0,3684,0
0,3686.666667,0
0,3689.333333,0
0,3692,0
0,3694.666667,0
0,3697.333333,0
0,3700,0
0,3702.666667,0
0,3705.333333,0
0,3708,0
0,3710.666667,0
0,3713.333333,0
0,3716,0
0,3718.666667,0
0,3721.333333,0
0,3724,0
0,3726.666667,0
0,3729.333333,0
0,3732,0
0,3734.666667,0
0,3737.333333,0
0,3740,0
0,3742.666667,0
0,3745.333333,0
0,3748,0
0,3750.666667,0
0,3753.333333,0
0,3756,0
0,3758.666667,0
0,3761.333333,0
0,3764,0
0,3766.666667,0
0,3769.333333,0
0,3772,0
0,3774.666667,0
0,3777.333333,0
0,3780,0
0,3782.666667,0
0,3785.333333,0
0,3788,0
0,3790.666667,0
0,3793.333333,0
0,3796,0
0,3798.666667,0
0,3801.333333,0
0,3804,0
0,3806.666667,0
0,3809.333333,0
0,3812,0
0,3814.666667,0
0,3817.333333,0
0,3820,0
0,3822.666667,0
0,3825.333333,0
0,3828,0
0,3830.666667,0
0,3833.333333,0
