HPC95,parameter.value,count
1,0.470283,68.919937
1,0.47065,68.483887
1,0.471017,68.083633
1,0.471383,67.628838
1,0.47175,67.191055
1,0.472117,66.828804
1,0.472483,66.425293
1,0.47285,66.057007
1,0.473217,65.690506
1,0.473583,65.267311
1,0.47395,64.862396
1,0.474317,64.462112
1,0.474683,64.019264
1,0.47505,63.595261
1,0.475417,63.178577
1,0.475783,62.747559
1,0.47615,62.302113
1,0.476517,61.866932
1,0.476883,61.374233
1,0.47725,60.882008
1,0.477617,60.414234
1,0.477983,59.915798
1,0.47835,59.424782
1,0.478717,58.94585
1,0.479083,58.414856
1,0.47945,57.911457
1,0.479817,57.408802
1,0.480183,56.867611
1,0.48055,56.378819
1,0.480917,55.949127
1,0.481283,55.473072
1,0.48165,55.007133
1,0.482017,54.557816
1,0.482383,54.089367
1,0.48275,53.657433
1,0.483117,53.236439
1,0.483483,52.798
1,0.48385,52.368061
1,0.484217,51.951054
1,0.484583,51.513683
1,0.48495,51.123714
1,0.485317,50.754044
1,0.485683,50.350872
1,0.48605,49.998619
1,0.486417,49.66531
1,0.486783,49.352459
1,0.48715,49.091557
1,0.487517,48.857185
1,0.487883,48.626804
1,0.48825,48.436192
1,0.488617,48.259624
1,0.488983,48.048126
1,0.48935,47.850845
1,0.489717,47.687447
1,0.490083,47.485596
1,0.49045,47.31559
1,0.490817,47.163017
1,0.491183,46.995453
1,0.49155,46.830101
1,0.491917,46.662556
1,0.492283,46.458832
1,0.49265,46.259884
1,0.493017,46.088417
1,0.493383,45.863953
1,0.49375,45.650734
1,0.494117,45.452248
1,0.494483,45.220078
1,0.49485,45.020218
1,0.495217,44.802151
1,0.495583,44.559772
1,0.49595,44.326862
1,0.496317,44.112579
1,0.496683,43.874172
1,0.49705,43.612919
1,0.497417,43.348473
1,0.497783,43.050236
1,0.49815,42.726044
1,0.498517,42.416912
1,0.498883,42.073986
1,0.49925,41.714718
1,0.499617,41.367889
1,0.499983,40.997395
1,0.50035,40.632229
1,0.500717,40.292969
1,0.501083,39.926811
1,0.50145,39.561214
1,0.501817,39.197117
1,0.502183,38.823708
1,0.50255,38.470478
1,0.502917,38.130726
1,0.503283,37.772209
1,0.50365,37.40369
1,0.504017,37.054256
1,0.504383,36.67841
1,0.50475,36.347481
1,0.505117,36.030518
1,0.505483,35.681366
1,0.50585,35.347889
1,0.506217,35.012661
1,0.506583,34.65295
1,0.50695,34.318367
1,0.507317,33.995094
1,0.507683,33.635689
1,0.50805,33.293327
1,0.508417,32.949417
1,0.508783,32.60675
1,0.50915,32.293091
1,0.509517,31.999605
1,0.509883,31.705872
1,0.51025,31.449837
1,0.510617,31.200981
1,0.510983,30.925144
1,0.51135,30.674814
1,0.511717,30.445631
1,0.512083,30.198305
1,0.51245,29.985826
1,0.512817,29.804222
1,0.513183,29.610922
1,0.51355,29.443539
1,0.513917,29.271437
0,0.514283,29.068825
0,0.51465,28.88966
0,0.515017,28.723152
0,0.515383,28.52162
0,0.51575,28.337347
0,0.516117,28.149014
0,0.516483,27.946789
0,0.51685,27.766434
0,0.517217,27.585108
0,0.517583,27.41156
0,0.51795,27.243357
0,0.518317,27.104702
0,0.518683,26.961315
0,0.51905,26.813053
0,0.519417,26.660103
0,0.519783,26.469828
0,0.52015,26.265961
0,0.520517,26.074045
0,0.520883,25.857784
0,0.52125,25.644249
0,0.521617,25.452536
0,0.521983,25.241743
0,0.52235,25.041109
0,0.522717,24.853527
0,0.523083,24.653437
0,0.52345,24.472889
0,0.523817,24.308708
0,0.524183,24.136415
0,0.52455,23.970062
0,0.524917,23.795238
0,0.525283,23.627367
0,0.52565,23.453766
0,0.526017,23.300194
0,0.526383,23.123653
0,0.52675,22.969666
0,0.527117,22.839302
0,0.527483,22.678343
0,0.52785,22.523975
0,0.528217,22.376799
0,0.528583,22.210814
0,0.52895,22.04166
0,0.529317,21.891645
0,0.529683,21.712742
0,0.53005,21.530128
0,0.530417,21.344168
0,0.530783,21.150309
0,0.53115,20.974144
0,0.531517,20.806244
0,0.531883,20.633587
0,0.53225,20.481552
0,0.532617,20.327339
0,0.532983,20.14649
0,0.53335,19.976328
0,0.533717,19.821157
0,0.534083,19.643303
0,0.53445,19.474871
0,0.534817,19.32336
0,0.535183,19.152868
0,0.53555,18.994026
0,0.535917,18.830536
0,0.536283,18.640928
0,0.53665,18.464186
0,0.537017,18.290922
0,0.537383,18.111227
0,0.53775,17.941963
0,0.538117,17.783728
0,0.538483,17.617125
0,0.53885,17.457703
0,0.539217,17.30616
0,0.539583,17.153238
0,0.53995,17.010899
0,0.540317,16.889431
0,0.540683,16.762712
0,0.54105,16.664755
0,0.541417,16.557676
0,0.541783,16.444767
0,0.54215,16.327719
0,0.542517,16.221951
0,0.542883,16.109541
0,0.54325,16.004166
0,0.543617,15.901398
0,0.543983,15.791631
0,0.54435,15.676776
0,0.544717,15.562086
0,0.545083,15.437619
0,0.54545,15.329017
0,0.545817,15.247008
0,0.546183,15.153606
0,0.54655,15.064178
0,0.546917,14.970752
0,0.547283,14.880547
0,0.54765,14.792147
0,0.548017,14.71414
0,0.548383,14.633635
0,0.54875,14.564244
0,0.549117,14.506251
0,0.549483,14.429741
0,0.54985,14.366495
0,0.550217,14.308357
0,0.550583,14.240416
0,0.55095,14.171021
0,0.551317,14.108883
0,0.551683,14.037715
0,0.55205,13.962821
0,0.552417,13.886345
0,0.552783,13.800309
0,0.55315,13.726749
0,0.553517,13.662664
0,0.553883,13.606641
0,0.55425,13.552564
0,0.554617,13.499289
0,0.554983,13.433484
0,0.55535,13.363624
0,0.555717,13.291729
0,0.556083,13.204691
0,0.55645,13.127714
0,0.556817,13.049322
0,0.557183,12.959616
0,0.55755,12.872052
0,0.557917,12.786959
0,0.558283,12.682913
0,0.55865,12.581676
0,0.559017,12.490026
0,0.559383,12.395013
0,0.55975,12.303863
0,0.560117,12.215213
0,0.560483,12.115952
0,0.56085,12.013071
0,0.561217,11.913419
0,0.561583,11.803761
0,0.56195,11.702911
0,0.562317,11.606512
0,0.562683,11.496687
0,0.56305,11.402089
0,0.563417,11.29643
0,0.563783,11.19361
0,0.56415,11.080842
0,0.564517,10.968626
0,0.564883,10.850689
0,0.56525,10.740641
0,0.565617,10.626952
0,0.565983,10.513181
0,0.56635,10.396214
0,0.566717,10.279724
0,0.567083,10.160809
0,0.56745,10.046204
0,0.567817,9.951109
0,0.568183,9.85076
0,0.56855,9.748716
0,0.568917,9.648536
0,0.569283,9.537044
0,0.56965,9.436334
0,0.570017,9.336738
0,0.570383,9.231914
0,0.57075,9.143791
0,0.571117,9.067567
0,0.571483,8.983502
0,0.57185,8.91522
0,0.572217,8.853056
0,0.572583,8.78903
0,0.57295,8.726864
0,0.573317,8.670118
0,0.573683,8.613872
0,0.57405,8.5549
0,0.574417,8.498238
0,0.574783,8.437268
0,0.57515,8.382215
0,0.575517,8.336754
0,0.575883,8.291315
0,0.57625,8.236238
0,0.576617,8.19486
0,0.576983,8.162151
0,0.57735,8.124829
0,0.577717,8.088037
0,0.578083,8.040293
0,0.57845,8.005167
0,0.578817,7.972875
0,0.579183,7.938611
0,0.57955,7.912543
0,0.579917,7.889755
0,0.580283,7.866858
